invoice_id,receiver_gstin,supplier_gstin,invoice_date,total_value,itc_available
INV1,82MYzmL66699iZ3,55eknBc96765AZ7,2026-01-13,13201.54,2495.09
INV2,74uVhec21553mZ8,35Syfnw01275iZ2,2026-02-17,78413.7,14820.19
INV3,38PMJmX20323hZ3,23DwrBz56300gZ7,2026-02-11,36800.34,6955.26
INV4,54dpxbL00089WZ7,14SxYkR11289TZ8,2026-01-18,72078.11,13622.76
INV5,66LIkMl34987BZ4,63msqlN95515SZ9,2026-02-10,75021.88,14179.14
INV6,63msqlN95515SZ9,29sblYP36116dZ1,2026-02-03,89508.43,16917.1
INV7,76kobvk79549xZ4,26fMqhX63048gZ9,2026-02-09,80816.98,15274.41
INV8,54CSmUz75550cZ2,23DwrBz56300gZ7,2026-02-25,98818.68,18676.73
INV9,25UuAAm06137PZ8,54dpxbL00089WZ7,2026-01-27,83042.72,15695.07
INV10,29vpUPX48774aZ3,77uWbvb29064hZ5,2026-02-01,25305.24,4782.69
INV11,74uVhec21553mZ8,26fMqhX63048gZ9,2026-02-20,77679.18,13982.25
INV12,39iHbsL80634FZ5,63EUycI63969xZ9,2026-02-01,15512.5,2792.25
INV13,82vQobC23384DZ4,43Fyoqk05241vZ8,2026-01-26,83861.05,15094.99
INV14,80lUEqp03339hZ0,74kpfRL49527uZ1,2026-01-10,36196.29,6515.33
INV15,63msqlN95515SZ9,54CSmUz75550cZ2,2026-02-24,27621.25,4971.82
INV16,25MmruU49645dZ9,90NIDfc03840QZ6,2026-01-21,52202.31,9396.42
INV17,29sblYP36116dZ1,66nhvpc15489pZ3,2026-02-14,97340.69,17521.32
INV18,14WQpYv87024mZ8,25UuAAm06137PZ8,2026-01-06,43842.84,7891.71
INV19,35Syfnw01275iZ2,23DwrBz56300gZ7,2026-01-10,31535.99,5676.48
INV20,25UuAAm06137PZ8,90UnPeB57155WZ5,2026-02-12,91942.41,16549.63
INV21,14SxYkR11289TZ8,87coKkW72005VZ3,2026-02-02,85161.72,15329.11
INV22,26fMqhX63048gZ9,25Gbpsc49807fZ9,2026-01-04,89502.23,16110.4
INV23,39iHbsL80634FZ5,25Gbpsc49807fZ9,2026-02-05,42584.22,7665.16
INV24,65zknwJ87656nZ8,20KMNPq70481YZ1,2026-02-08,73479.67,13226.34
INV25,74kpfRL49527uZ1,25MmruU49645dZ9,2026-01-08,67001.47,12060.26
INV26,74uVhec21553mZ8,95bqfMU51417SZ2,2026-02-15,17668.23,3180.28
INV27,91mQOPH34197IZ8,77YYbzq29297jZ7,2026-02-12,95053.72,17109.67
INV28,20KMNPq70481YZ1,26fMqhX63048gZ9,2026-01-27,69907.16,12583.29
INV29,43Fyoqk05241vZ8,29sblYP36116dZ1,2026-02-10,68377.46,12307.94
INV30,54CSmUz75550cZ2,43Fyoqk05241vZ8,2026-02-17,23014.09,4142.54
INV31,95bqfMU51417SZ2,74uVhec21553mZ8,2026-01-17,98080.57,17654.5
INV32,74yXNNQ22162yZ4,50jflNb78705MZ7,2026-01-05,33218.21,5979.28
INV33,25MmruU49645dZ9,63msqlN95515SZ9,2026-02-01,66895.24,12041.14
INV34,41inREV55595IZ4,83kDkDR25969JZ2,2026-02-13,45325.81,8158.65
INV35,29vpUPX48774aZ3,80EmjMc45920lZ1,2026-01-22,78023.46,14044.22
INV36,49BlmLM01723BZ7,67KXgzI20045oZ8,2026-01-14,31131.51,5603.67
INV37,91mQOPH34197IZ8,14IKVtt15081YZ4,2026-02-17,95896.24,17261.32
INV38,13CZMad85948AZ4,74yXNNQ22162yZ4,2026-01-30,86834.18,15630.15
INV39,60dZnuO59462HZ6,63iSfMS96604HZ0,2026-02-23,14785.81,2661.45
INV40,25MmruU49645dZ9,29vpUPX48774aZ3,2026-02-11,43987.86,7917.81
INV41,50OfAXd26417TZ2,29sblYP36116dZ1,2026-02-15,18199.74,3275.95
INV42,29sblYP36116dZ1,50OfAXd26417TZ2,2026-02-22,17606.03,3169.09
INV43,95bqfMU51417SZ2,29sblYP36116dZ1,2026-02-07,57173.74,10291.27
INV44,49BlmLM01723BZ7,89OgTXc98031fZ6,2026-02-03,82491.41,14848.45
INV45,63yodbq45130rZ0,77uWbvb29064hZ5,2026-01-17,79300.79,14274.14
INV46,14IKVtt15081YZ4,82vQobC23384DZ4,2026-02-03,25195.17,4535.13
INV47,63yodbq45130rZ0,44btWfP64914fZ4,2026-02-17,75455.51,13581.99
INV48,66nhvpc15489pZ3,61BnfeY02186qZ9,2026-01-11,71234.81,12822.27
INV49,76kobvk79549xZ4,80lUEqp03339hZ0,2026-01-13,35809.68,6445.74
INV50,38PMJmX20323hZ3,50jflNb78705MZ7,2026-02-05,28268.28,5088.29
INV51,26BUvmE94128AZ8,87coKkW72005VZ3,2026-01-11,25949.9,4670.98
INV52,13CZMad85948AZ4,91mQOPH34197IZ8,2026-01-31,60503.49,10890.63
INV53,23DwrBz56300gZ7,26BUvmE94128AZ8,2026-02-15,60867.17,10956.09
INV54,80EmjMc45920lZ1,73AELsv87920wZ1,2026-01-20,19554.21,3519.76
INV55,66nhvpc15489pZ3,80EmjMc45920lZ1,2026-01-21,62897.95,11321.63
INV56,23DwrBz56300gZ7,63yodbq45130rZ0,2026-01-02,75896.7,13661.41
INV57,90NIDfc03840QZ6,50OfAXd26417TZ2,2026-02-27,45390.06,8170.21
INV58,50OfAXd26417TZ2,14SxYkR11289TZ8,2026-02-12,34293.36,6172.8
INV59,50OfAXd26417TZ2,61SAMWX15483uZ3,2026-01-07,42565.86,7661.85
INV60,60dZnuO59462HZ6,38PMJmX20323hZ3,2026-01-07,59688.88,10744.0
INV61,14IKVtt15081YZ4,77YYbzq29297jZ7,2026-02-13,86776.99,15619.86
INV62,63msqlN95515SZ9,35Syfnw01275iZ2,2026-02-17,26084.65,4695.24
INV63,82vQobC23384DZ4,50jflNb78705MZ7,2026-01-12,23331.75,4199.72
INV64,63EUycI63969xZ9,63msqlN95515SZ9,2026-01-24,48114.74,8660.65
INV65,54CSmUz75550cZ2,87coKkW72005VZ3,2026-02-06,22914.15,4124.55
INV66,80EmjMc45920lZ1,63EUycI63969xZ9,2026-02-20,31424.77,5656.46
INV67,61BnfeY02186qZ9,54CSmUz75550cZ2,2026-01-24,92076.11,16573.7
INV68,25Gbpsc49807fZ9,90NIDfc03840QZ6,2026-02-18,70215.59,12638.81
INV69,26BUvmE94128AZ8,29sblYP36116dZ1,2026-02-18,81498.94,14669.81
INV70,82MYzmL66699iZ3,38PMJmX20323hZ3,2026-01-20,83994.48,15119.01
INV71,12kZyob22184CZ2,50jflNb78705MZ7,2026-02-19,10016.61,1802.99
INV72,63msqlN95515SZ9,26BUvmE94128AZ8,2026-01-10,57849.28,10412.87
INV73,35Syfnw01275iZ2,60dZnuO59462HZ6,2026-02-22,52446.17,9440.31
INV74,90UnPeB57155WZ5,25UuAAm06137PZ8,2026-01-16,71986.67,12957.6
INV75,50OfAXd26417TZ2,82vQobC23384DZ4,2026-01-10,99777.86,17960.01
INV76,61SAMWX15483uZ3,63msqlN95515SZ9,2026-02-09,87963.88,15833.5
INV77,29sblYP36116dZ1,20KMNPq70481YZ1,2026-01-09,35004.97,6300.89
INV78,44btWfP64914fZ4,26BUvmE94128AZ8,2026-01-15,16818.87,3027.4
INV79,14SxYkR11289TZ8,63iSfMS96604HZ0,2026-01-08,30300.77,5454.14
INV80,13CZMad85948AZ4,87coKkW72005VZ3,2026-02-20,31127.06,5602.87
INV81,73AELsv87920wZ1,14WQpYv87024mZ8,2026-01-03,83590.04,15046.21
INV82,76kobvk79549xZ4,12kZyob22184CZ2,2026-01-20,49819.16,8967.45
INV83,47YKCqh16071AZ5,38uUzsx07313oZ8,2026-02-11,79660.77,14338.94
INV84,61SAMWX15483uZ3,50jflNb78705MZ7,2026-02-04,81191.28,14614.43
INV85,66LIkMl34987BZ4,63msqlN95515SZ9,2026-02-03,31135.09,5604.32
INV86,63iSfMS96604HZ0,40ZyVzC17395UZ9,2026-01-13,89311.82,16076.13
INV87,89OgTXc98031fZ6,20KMNPq70481YZ1,2026-02-21,52530.2,9455.44
INV88,77uWbvb29064hZ5,14WQpYv87024mZ8,2026-02-17,52518.94,9453.41
INV89,25MmruU49645dZ9,76kobvk79549xZ4,2026-01-20,43613.85,7850.49
INV90,63yodbq45130rZ0,38uUzsx07313oZ8,2026-02-26,72713.18,13088.37
INV91,90UnPeB57155WZ5,89OgTXc98031fZ6,2026-01-15,12248.3,2204.69
INV92,54dpxbL00089WZ7,67KXgzI20045oZ8,2026-01-25,42556.39,7660.15
INV93,80EmjMc45920lZ1,40ZyVzC17395UZ9,2026-01-07,70824.65,12748.44
INV94,20MoJSF24057OZ4,14IKVtt15081YZ4,2026-01-07,94590.21,17026.24
INV95,77uWbvb29064hZ5,50jflNb78705MZ7,2026-02-11,73259.77,13186.76
INV96,63EUycI63969xZ9,73AELsv87920wZ1,2026-02-17,47385.37,8529.37
INV97,76kobvk79549xZ4,65zknwJ87656nZ8,2026-01-14,50841.95,9151.55
INV98,67KXgzI20045oZ8,65zknwJ87656nZ8,2026-01-17,92032.46,16565.84
INV99,29vpUPX48774aZ3,41inREV55595IZ4,2026-01-21,79039.5,14227.11
INV100,39iHbsL80634FZ5,77YYbzq29297jZ7,2026-02-22,78615.5,14150.79
CIR1,14IKVtt15081YZ4,61BnfeY02186qZ9,2026-01-15,50000.0,9000.0
CIR2,47YKCqh16071AZ5,14IKVtt15081YZ4,2026-01-04,50000.0,9000.0
CIR3,61BnfeY02186qZ9,47YKCqh16071AZ5,2026-02-15,50000.0,9000.0
CIR4,63yodbq45130rZ0,54CSmUz75550cZ2,2026-02-25,50000.0,9000.0
CIR5,74kpfRL49527uZ1,63yodbq45130rZ0,2026-01-16,50000.0,9000.0
CIR6,54CSmUz75550cZ2,74kpfRL49527uZ1,2026-02-27,50000.0,9000.0
CIR7,26fMqhX63048gZ9,74kpfRL49527uZ1,2026-02-03,50000.0,9000.0
CIR8,41inREV55595IZ4,26fMqhX63048gZ9,2026-01-11,50000.0,9000.0
CIR9,74kpfRL49527uZ1,41inREV55595IZ4,2026-01-21,50000.0,9000.0
