invoice_no,seller_gstin,buyer_gstin,invoice_date,taxable_value,cgst,sgst,igst,total_tax
INV-1,37YCGOK5673O1ZJ,15CWMZP8277H1ZH,19-10-2025,395306,0,0,71155.08,71155.08
INV-2,24FICSI1094E1ZY,03JQUQP0180D1ZN,20-11-2025,477080,0,0,85874.4,85874.4
INV-3,15RQMYJ3165J1ZD,08ITQSA3261T1ZU,27-09-2025,600408,0,0,108073.44,108073.44
INV-4,16PUSXA7955G1ZZ,17FSITY6172S1ZY,11-11-2025,803237,0,0,144582.66,144582.66
INV-5,22BUBDU6468E1ZX,30AYELZ4998J1ZF,11-01-2026,653687,0,0,117663.66,117663.66
INV-6,16SJUSB4414M1ZL,11ARWIM9524W1ZR,04-02-2026,456711,0,0,82207.98,82207.98
INV-7,36HRYDD1526W1ZK,14RLIVV8375W1ZV,01-11-2025,368345,0,0,66302.1,66302.1
INV-8,32VROXP3750B1ZY,05LXLCR8330R1ZJ,05-09-2025,689068,0,0,124032.24,124032.24
INV-9,29KHVLK6051U1ZO,36SJPHN4716Y1ZR,24-10-2025,985875,0,0,177457.5,177457.5
INV-10,09ZQYNS3134S1ZV,11ARWIM9524W1ZR,16-10-2025,688665,0,0,123959.7,123959.7
INV-11,30SLTZH8544X1ZS,32BIQJN6421R1ZP,08-11-2025,500963,0,0,90173.34,90173.34
INV-12,07PYOXJ9158H1ZD,30AERUX1433Y1ZD,28-10-2025,850480,0,0,153086.4,153086.4
INV-13,23IJWMU7732K1ZN,18WDDGE6007H1ZS,05-09-2025,143997,0,0,25919.46,25919.46
INV-14,26ZNDLD4290X1ZB,23IJWMU7732K1ZN,26-12-2025,892416,0,0,160634.88,160634.88
INV-15,25RPIWK6623K1ZJ,10PXUWW9393D1ZK,05-10-2025,319834,0,0,57570.12,57570.12
INV-16,12TIYUW8271B1ZP,36DBOKO0277G1ZN,16-02-2026,90250,0,0,16245,16245
INV-17,37LWLDM6145A1ZC,07WISHY8543K1ZD,11-11-2025,545456,0,0,98182.08,98182.08
INV-18,29VCWVD9094X1ZM,01OMLEB9484C1ZS,11-09-2025,497227,0,0,89500.86,89500.86
INV-19,11XORDW1743Y1ZO,03RNUKX8061Q1ZU,25-12-2025,862308,0,0,155215.44,155215.44
INV-20,32OCCUV3807R1ZG,14OZMJY4556X1ZV,07-02-2026,624012,0,0,112322.16,112322.16
INV-21,01PNWWB9905L1ZD,30HKWUQ7160F1ZD,29-01-2026,27058,0,0,4870.44,4870.44
INV-22,35VOKPW7730N1ZC,09EACEA6346S1ZI,13-01-2026,495363,0,0,89165.34,89165.34
INV-23,34WICDY1497H1ZV,31NYLVV9060W1ZO,19-11-2025,893855,0,0,160893.9,160893.9
INV-24,23FGCUW4619F1ZZ,16VCWGM6308F1ZP,31-08-2025,446471,0,0,80364.78,80364.78
INV-25,13ZDZMG6295Y1ZJ,20EGVKX3719X1ZC,03-11-2025,625732,0,0,112631.76,112631.76
INV-26,30MYDXG3193K1ZO,37OJOTJ4900J1ZT,21-09-2025,481804,0,0,86724.72,86724.72
INV-27,22CLTQE0316D1ZU,19QXCON7991F1ZB,11-01-2026,367915,0,0,66224.7,66224.7
INV-28,03TEJUW3138X1ZO,11JXKUR0633R1ZV,26-09-2025,92020,0,0,16563.6,16563.6
INV-29,08OOXKI7109C1ZL,32OMAAG9846J1ZN,31-01-2026,716120,0,0,128901.6,128901.6
INV-30,16SJUSB4414M1ZL,11PGISE1309T1ZV,26-02-2026,28785,0,0,5181.3,5181.3
INV-31,05ODRBF5048J1ZY,33GASVP6844K1ZR,15-01-2026,23950,0,0,4311,4311
