invoice_no,buyer_gstin,period,auto_tax,auto_value
INV-1,15CWMZP8277H1ZH,2025-01,71155.08,395306
INV-2,03JQUQP0180D1ZN,2025-01,85874.4,477080
INV-3,08ITQSA3261T1ZU,2025-01,108073.44,600408
INV-4,17FSITY6172S1ZY,2025-01,144582.66,803237
INV-5,30AYELZ4998J1ZF,2025-01,117663.66,653687
INV-6,11ARWIM9524W1ZR,2025-01,82207.98,456711
INV-7,14RLIVV8375W1ZV,2025-01,66302.1,368345
INV-8,05LXLCR8330R1ZJ,2025-01,124032.24,689068
INV-9,36SJPHN4716Y1ZR,2025-01,177457.5,985875
INV-10,11ARWIM9524W1ZR,2025-01,123959.7,688665
INV-11,32BIQJN6421R1ZP,2025-01,90173.34,500963
INV-12,30AERUX1433Y1ZD,2025-01,153086.4,850480
INV-13,18WDDGE6007H1ZS,2025-01,25919.46,143997
INV-14,23IJWMU7732K1ZN,2025-01,160634.88,892416
INV-15,10PXUWW9393D1ZK,2025-01,57570.12,319834
INV-16,36DBOKO0277G1ZN,2025-01,16245,90250
INV-17,07WISHY8543K1ZD,2025-01,98182.08,545456
INV-18,01OMLEB9484C1ZS,2025-01,81008.97,497227
INV-19,03RNUKX8061Q1ZU,2025-01,155215.44,862308
INV-20,14OZMJY4556X1ZV,2025-01,112322.16,624012
INV-21,30HKWUQ7160F1ZD,2025-01,4870.44,27058
INV-22,09EACEA6346S1ZI,2025-01,89165.34,495363
INV-23,31NYLVV9060W1ZO,2025-01,160893.9,893855
INV-24,16VCWGM6308F1ZP,2025-01,80364.78,446471
INV-25,20EGVKX3719X1ZC,2025-01,104403.1,625732
INV-26,37OJOTJ4900J1ZT,2025-01,86724.72,481804
INV-27,19QXCON7991F1ZB,2025-01,66224.7,367915
INV-28,11JXKUR0633R1ZV,2025-01,15644.42,92020
INV-29,32OMAAG9846J1ZN,2025-01,128901.6,716120
INV-30,11PGISE1309T1ZV,2025-01,5181.3,28785
INV-31,33GASVP6844K1ZR,2025-01,4311,23950
INV-32,17SOXYX6228N1ZZ,2025-01,88652.7,492515
INV-33,28SKVPD3953S1ZY,2025-01,125939.88,699666
INV-34,23ICNHB0945Q1ZK,2025-01,58951.44,327508
INV-35,14EUHTR1448J1ZV,2025-01,118206.54,656703
INV-36,20AZFIU9895S1ZS,2025-01,132088.5,733825
INV-37,05OAYVM5936M1ZB,2025-01,58924.44,327358
INV-38,08MBTFR6385C1ZZ,2025-01,4418.82,24549
INV-39,37OIZFB1027F1ZW,2025-01,4798.08,26656
INV-40,09RVTRN6433F1ZG,2025-01,163933.02,910739
INV-41,12IBLFU5177E1ZT,2025-01,112943.38,690130
INV-42,11MNMIA9592L1ZB,2025-01,84052.26,466957
INV-43,25MDWAY4696B1ZD,2025-01,84251.66,574744
INV-44,32ZQMEU1749R1ZU,2025-01,147079.98,817111
INV-45,15RQMYJ3165J1ZD,2025-01,81426.96,452372
INV-46,20BKPAH2123A1ZP,2025-01,172125.18,956251
INV-47,10ROEBN7181A1ZY,2025-01,85841.1,476895
INV-48,37YCMBT7145I1ZQ,2025-01,164080.98,911561
INV-49,31HACDG3400R1ZG,2025-01,39801.24,221118
INV-50,15BPBLF6134G1ZU,2025-01,159181.74,884343
INV-51,24SVPXC2616S1ZU,2025-01,3286.08,18256
INV-52,05JLNVM5884L1ZZ,2025-01,136391.76,757732
INV-53,30CKEYC1111G1ZQ,2025-01,95360.76,529782
INV-54,08AQDWU9435U1ZG,2025-01,106421.4,591230
INV-55,32JEYXK2717S1ZQ,2025-01,77237.1,429095
INV-56,33KIOSS1900E1ZP,2025-01,131147.6,769813
INV-57,28KWWFQ6073J1ZQ,2025-01,172626.66,959037
INV-58,12UYSDK4157G1ZO,2025-01,13257.54,73653
INV-59,12MCGFN0921W1ZF,2025-01,110592.36,614402
INV-60,34MOXDD4553Y1ZO,2025-01,52354.62,290859
INV-61,10VYYJE5725D1ZS,2025-01,91139.4,506330
INV-62,19MYWQY4649C1ZF,2025-01,179023.5,994575
INV-63,11ZVDLZ4968I1ZK,2025-01,133451.28,741396
INV-64,36AYVGE7330E1ZS,2025-01,56160.18,312001
INV-65,14FTVBC8134I1ZV,2025-01,84490.56,469392
INV-66,37ADLJL0133I1ZH,2025-01,112716.72,626204
INV-67,20LOFKQ4710W1ZQ,2025-01,106636.92,641347
INV-68,37WUZXT8972Z1ZL,2025-01,168493.32,936074
INV-69,03NLVBZ5375Q1ZY,2025-01,75479.94,419333
INV-70,11XQWTK0889P1ZX,2025-01,128844.72,715804
INV-71,33ZRCZU9981E1ZH,2025-01,152034.66,844637
INV-72,04UHUTO6022Y1ZM,2025-01,149064.1,895555
INV-73,05ITQUT3058F1ZY,2025-01,55111.86,306177
INV-74,17IWSHA9074Y1ZH,2025-01,127702.62,709459
INV-75,26NKIII1515Y1ZL,2025-01,39451.32,219174
INV-76,03JQUQP0180D1ZN,2025-01,20844.9,115805
INV-77,36GSFRA4156W1ZE,2025-01,59112.36,328402
INV-78,20SDOVY1377U1ZN,2025-01,8752.44,59334
INV-79,13UORYV7784C1ZD,2025-01,47419.9,283477
INV-80,28CTVOP5313V1ZY,2025-01,34776.18,193201
INV-81,29TDFSP4053R1ZZ,2025-01,13816.44,76758
INV-82,19NHVZG5395E1ZC,2025-01,118360.98,657561
INV-83,05SXWQV5720I1ZR,2025-01,44096.58,244981
INV-84,11ILMUQ1637G1ZO,2025-01,149942.16,833012
INV-85,23FGCUW4619F1ZZ,2025-01,147150.54,817503
INV-86,03CMKLT6824N1ZG,2025-01,30333.96,168522
INV-87,14RLIVV8375W1ZV,2025-01,115855.74,643643
INV-88,11FATAH4797C1ZF,2025-01,11316.78,62871
INV-89,18VWRZF3773X1ZN,2025-01,160646.04,892478
INV-90,03TENLH9489P1ZL,2025-01,149331.78,829621
INV-91,18HGTPX7631Z1ZW,2025-01,163815.12,910084
INV-92,22WMJHO1688E1ZR,2025-01,9721.44,54008
INV-93,20BKPAH2123A1ZP,2025-01,120694.5,670525
INV-94,06NJYOU5080M1ZL,2025-01,173742.66,965237
INV-95,18IKFFB5950X1ZW,2025-01,56936.34,316313
INV-96,05GISRT5596K1ZQ,2025-01,95868,532600
INV-97,31QFXWF1631I1ZS,2025-01,70452.9,391405
INV-98,08MBTFR6385C1ZZ,2025-01,21455.63,138957
INV-99,30VRLYP0969K1ZX,2025-01,80270.1,445945
INV-100,15XPDOA9047B1ZN,2025-01,154521,858450
INV-101,15GJHYS1847A1ZH,2025-01,89931.38,539554
INV-102,08ITQSA3261T1ZU,2025-01,58535.26,400527
INV-103,11ARWIM9524W1ZR,2025-01,127313.64,707298
