gstin,period,itc_claimed,total_tax_paid,filing_date,due_date
08AHFTR8040G1ZH,2025-01,1200691,1202349,27-02-2026,27-02-2026
08AHFTR8040G1ZH,2025-02,1178096,1162214,27-02-2026,26-02-2026
08AHFTR8040G1ZH,2025-03,1698754,1705444,27-02-2026,27-02-2026
08AHFTR8040G1ZH,2025-04,425522,454618,27-02-2026,25-02-2026
08AHFTR8040G1ZH,2025-05,1139310,1117152,27-02-2026,27-02-2026
08AHFTR8040G1ZH,2025-06,1586060,1601442,27-02-2026,14-02-2026
36FQOFP8086K1ZI,2025-01,1450823,1482572,27-02-2026,27-02-2026
36FQOFP8086K1ZI,2025-02,929185,945478,27-02-2026,27-02-2026
36FQOFP8086K1ZI,2025-03,646377,648706,27-02-2026,27-02-2026
36FQOFP8086K1ZI,2025-04,801225,830859,27-02-2026,27-02-2026
36FQOFP8086K1ZI,2025-05,914773,954463,27-02-2026,27-02-2026
36FQOFP8086K1ZI,2025-06,1436078,1460142,27-02-2026,27-02-2026
22CJJIG0419C1ZR,2025-01,451160,469060,27-02-2026,27-02-2026
22CJJIG0419C1ZR,2025-02,1852969,1892396,27-02-2026,27-02-2026
22CJJIG0419C1ZR,2025-03,1908807,1954329,27-02-2026,27-02-2026
22CJJIG0419C1ZR,2025-04,713364,739291,27-02-2026,27-02-2026
22CJJIG0419C1ZR,2025-05,1660730,1693726,27-02-2026,27-02-2026
22CJJIG0419C1ZR,2025-06,1207188,1219673,27-02-2026,27-02-2026
24PSBFH0212U1ZL,2025-01,800633,800482,27-02-2026,27-02-2026
24PSBFH0212U1ZL,2025-02,451901,420611,27-02-2026,16-02-2026
24PSBFH0212U1ZL,2025-03,1550166,1520985,27-02-2026,27-02-2026
24PSBFH0212U1ZL,2025-04,1335415,1325283,27-02-2026,27-02-2026
24PSBFH0212U1ZL,2025-05,1943179,1963996,27-02-2026,27-02-2026
24PSBFH0212U1ZL,2025-06,1003162,960351,27-02-2026,27-02-2026
14RSRBQ5242U1ZW,2025-01,990470,963648,27-02-2026,27-02-2026
14RSRBQ5242U1ZW,2025-02,541240,574868,27-02-2026,27-02-2026
14RSRBQ5242U1ZW,2025-03,882808,884942,27-02-2026,27-02-2026
14RSRBQ5242U1ZW,2025-04,751213,714337,27-02-2026,27-02-2026
14RSRBQ5242U1ZW,2025-05,1267232,1312766,27-02-2026,27-02-2026
14RSRBQ5242U1ZW,2025-06,192314,213990,27-02-2026,27-02-2026
21VUFAI2298K1ZG,2025-01,1834708,1851974,27-02-2026,27-02-2026
21VUFAI2298K1ZG,2025-02,1063092,1085037,27-02-2026,14-02-2026
21VUFAI2298K1ZG,2025-03,1986873,2017623,27-02-2026,27-02-2026
21VUFAI2298K1ZG,2025-04,535504,564680,27-02-2026,27-02-2026
21VUFAI2298K1ZG,2025-05,1875403,1827894,27-02-2026,27-02-2026
21VUFAI2298K1ZG,2025-06,1436442,1485956,27-02-2026,27-02-2026
30DDTOT4539E1ZQ,2025-01,184870,203045,27-02-2026,27-02-2026
30DDTOT4539E1ZQ,2025-02,884696,846057,27-02-2026,27-02-2026
30DDTOT4539E1ZQ,2025-03,582674,538840,27-02-2026,27-02-2026
30DDTOT4539E1ZQ,2025-04,1468366,1504319,27-02-2026,27-02-2026
30DDTOT4539E1ZQ,2025-05,1151822,1134272,27-02-2026,27-02-2026
30DDTOT4539E1ZQ,2025-06,264395,266173,27-02-2026,27-02-2026
04WDERP3542R1ZA,2025-01,571733,583194,27-02-2026,27-02-2026
04WDERP3542R1ZA,2025-02,1697160,1664883,27-02-2026,27-02-2026
04WDERP3542R1ZA,2025-03,1045908,1060635,27-02-2026,27-02-2026
04WDERP3542R1ZA,2025-04,1334640,1364583,27-02-2026,27-02-2026
04WDERP3542R1ZA,2025-05,200964,239234,27-02-2026,27-02-2026
04WDERP3542R1ZA,2025-06,345424,299068,27-02-2026,27-02-2026
18TIHEA7797Q1ZD,2025-01,461016,423572,27-02-2026,27-02-2026
18TIHEA7797Q1ZD,2025-02,388285,342358,27-02-2026,27-02-2026
18TIHEA7797Q1ZD,2025-03,514281,540294,27-02-2026,27-02-2026
18TIHEA7797Q1ZD,2025-04,328562,306906,27-02-2026,27-02-2026
18TIHEA7797Q1ZD,2025-05,518278,520048,27-02-2026,27-02-2026
18TIHEA7797Q1ZD,2025-06,1433734,1392459,27-02-2026,27-02-2026
13DTOUN0309Z1ZJ,2025-01,1254968,1277491,27-02-2026,27-02-2026
13DTOUN0309Z1ZJ,2025-02,362240,375814,27-02-2026,27-02-2026
13DTOUN0309Z1ZJ,2025-03,522557,488573,27-02-2026,27-02-2026
13DTOUN0309Z1ZJ,2025-04,1024825,999374,27-02-2026,27-02-2026
13DTOUN0309Z1ZJ,2025-05,393637,425219,27-02-2026,27-02-2026
13DTOUN0309Z1ZJ,2025-06,1892331,1874428,27-02-2026,23-02-2026
37YCMBT7145I1ZQ,2025-01,1029127,1062436,27-02-2026,27-02-2026
37YCMBT7145I1ZQ,2025-02,1905927,1931332,27-02-2026,27-02-2026
37YCMBT7145I1ZQ,2025-03,26363,68002,27-02-2026,27-02-2026
37YCMBT7145I1ZQ,2025-04,1386063,1412325,27-02-2026,27-02-2026
37YCMBT7145I1ZQ,2025-05,980800,980111,27-02-2026,27-02-2026
37YCMBT7145I1ZQ,2025-06,1777679,1755540,27-02-2026,27-02-2026
13SKRJX4200R1ZH,2025-01,1979248,1967786,27-02-2026,27-02-2026
13SKRJX4200R1ZH,2025-02,1120649,1101904,27-02-2026,27-02-2026
13SKRJX4200R1ZH,2025-03,1654498,1671385,27-02-2026,28-01-2026
13SKRJX4200R1ZH,2025-04,248514,247366,27-02-2026,27-02-2026
13SKRJX4200R1ZH,2025-05,665603,652916,27-02-2026,03-02-2026
13SKRJX4200R1ZH,2025-06,648467,655530,27-02-2026,27-02-2026
04FXWBG6219S1ZS,2025-01,248166,259140,27-02-2026,27-02-2026
04FXWBG6219S1ZS,2025-02,1893052,1936838,27-02-2026,04-02-2026
04FXWBG6219S1ZS,2025-03,32638,119,27-02-2026,27-02-2026
04FXWBG6219S1ZS,2025-04,1127863,1102291,27-02-2026,27-02-2026
04FXWBG6219S1ZS,2025-05,1779505,1762864,27-02-2026,27-02-2026
04FXWBG6219S1ZS,2025-06,1317038,1298156,27-02-2026,27-02-2026
31UECLL4769D1ZB,2025-01,1815747,1837222,27-02-2026,27-02-2026
31UECLL4769D1ZB,2025-02,603561,635756,27-02-2026,27-02-2026
31UECLL4769D1ZB,2025-03,384805,361661,27-02-2026,27-02-2026
