gstin,return_period,total_sales_declared,total_itc_claimed,tax_paid_cash
76kobvk79549xZ4,2023-10,43613.85,39839.15,0.0
13CZMad85948AZ4,2023-10,0.0,32123.65,0.0
23DwrBz56300gZ7,2023-10,167155.01,24617.5,5470.4
66nhvpc15489pZ3,2023-10,97340.69,24143.9,0.0
38PMJmX20323hZ3,2023-10,143683.36,12043.55,13819.45
55eknBc96765AZ7,2023-10,13201.54,0.0,2376.28
40ZyVzC17395UZ9,2023-10,160136.47,0.0,28824.56
95bqfMU51417SZ2,2023-10,17668.23,27945.77,0.0
12kZyob22184CZ2,2023-10,49819.16,1802.99,7164.46
60dZnuO59462HZ6,2023-10,52446.17,13405.45,0.0
63msqlN95515SZ9,2023-10,309130.83,36997.03,18646.52
90UnPeB57155WZ5,2023-10,91942.41,15162.29,1387.34
29sblYP36116dZ1,2023-10,314758.31,26991.3,29665.2
63iSfMS96604HZ0,2023-10,45086.58,16076.13,0.0
54CSmUz75550cZ2,2023-10,169697.36,35943.82,0.0
54dpxbL00089WZ7,2023-10,83042.72,21282.91,0.0
26fMqhX63048gZ9,2023-10,278403.32,25110.4,25002.2
77uWbvb29064hZ5,2023-10,104606.03,22640.17,0.0
80lUEqp03339hZ0,2023-10,35809.68,6515.33,0.0
89OgTXc98031fZ6,2023-10,94739.71,9455.44,7597.71
74kpfRL49527uZ1,2023-10,136196.29,30060.26,0.0
41inREV55595IZ4,2023-10,129039.5,17158.65,6068.46
80EmjMc45920lZ1,2023-10,140921.41,21924.66,3441.19
29vpUPX48774aZ3,2023-10,43987.86,33054.02,0.0
49BlmLM01723BZ7,2023-10,0.0,20452.12,0.0
63EUycI63969xZ9,2023-10,46937.27,17190.02,0.0
74yXNNQ22162yZ4,2023-10,86834.18,5979.28,9650.87
35Syfnw01275iZ2,2023-10,104498.35,15116.79,3692.91
43Fyoqk05241vZ8,2023-10,106875.14,12307.94,6929.59
83kDkDR25969JZ2,2023-10,45325.81,0.0,8158.65
63yodbq45130rZ0,2023-10,125896.7,49944.5,0.0
61BnfeY02186qZ9,2023-10,121234.81,25573.7,0.0
77YYbzq29297jZ7,2023-10,260446.21,0.0,46880.32
44btWfP64914fZ4,2023-10,75455.51,3027.4,10554.59
14SxYkR11289TZ8,2023-10,106371.47,20783.25,0.0
67KXgzI20045oZ8,2023-10,73687.9,16565.84,0.0
82MYzmL66699iZ3,2023-10,0.0,17614.1,0.0
38uUzsx07313oZ8,2023-10,152373.95,0.0,27427.31
65zknwJ87656nZ8,2023-10,142874.41,13226.34,12491.05
91mQOPH34197IZ8,2023-10,60503.49,34370.99,0.0
14IKVtt15081YZ4,2023-10,240486.45,29154.99,14132.57
74uVhec21553mZ8,2023-10,98080.57,31982.72,0.0
61SAMWX15483uZ3,2023-10,42565.86,30447.93,0.0
25UuAAm06137PZ8,2023-10,115829.51,32244.7,0.0
25Gbpsc49807fZ9,2023-10,132086.45,12638.81,11136.75
50OfAXd26417TZ2,2023-10,62996.09,35070.61,0.0
25MmruU49645dZ9,2023-10,67001.47,37205.86,0.0
26BUvmE94128AZ8,2023-10,135535.32,19340.79,5055.57
82vQobC23384DZ4,2023-10,124973.03,19294.71,3200.44
50jflNb78705MZ7,2023-10,249285.9,0.0,44871.46
20KMNPq70481YZ1,2023-10,161014.84,12583.29,16399.38
14WQpYv87024mZ8,2023-10,136108.98,7891.71,16607.91
47YKCqh16071AZ5,2023-10,50000.0,23338.94,0.0
20MoJSF24057OZ4,2023-10,0.0,17026.24,0.0
78XmDYI67103UZ7,2023-10,0.0,0.0,0.0
73AELsv87920wZ1,2023-10,66939.58,15046.21,0.0
39iHbsL80634FZ5,2023-10,0.0,24608.2,0.0
90NIDfc03840QZ6,2023-10,122417.9,8170.21,13865.01
87coKkW72005VZ3,2023-10,165152.83,0.0,29727.51
66LIkMl34987BZ4,2023-10,0.0,19783.46,0.0
